LocationID,level_1,level_2,level_3,level_4,level_5,level_6,level_7
44,1,1,1,1,1,1,1
204,1,1,1,1,1,1,1
84,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1
109,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1
110,1,1,1,1,1,1,1
176,1,1,1,1,1,1,1
172,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1
115,1,1,1,1,1,1,1
245,1,1,1,1,1,1,1
206,1,1,1,1,1,1,1
251,1,1,1,1,1,1,1
187,1,1,1,1,1,1,1
156,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1
168,2,2,2,2,2,2,2
126,2,2,2,2,2,2,2
147,2,2,2,2,2,2,2
159,2,2,2,2,2,2,2
69,2,2,2,2,2,2,2
247,2,2,2,2,2,2,2
199,2,2,2,2,2,2,2
167,2,2,2,2,2,2,2
60,2,2,2,2,2,2,2
213,2,2,2,2,2,2,2
212,2,2,2,2,2,2,2
250,2,2,2,2,2,2,2
208,2,2,2,2,2,2,2
242,2,2,2,2,2,2,2
183,2,2,2,2,2,2,2
58,2,2,2,2,2,2,2
184,2,2,2,2,2,2,2
182,2,2,2,2,2,2,2
119,2,2,2,2,2,2,2
169,2,2,2,2,2,2,2
235,2,2,2,2,2,2,2
94,2,2,2,2,2,2,2
136,2,2,2,2,2,2,2
47,2,2,2,2,2,2,2
59,2,2,2,2,2,2,2
78,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2
248,2,2,2,2,2,2,2
51,2,2,2,2,2,2,2
46,2,2,2,2,2,2,2
81,2,2,2,2,2,2,2
31,2,2,2,2,2,2,2
185,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2
241,2,2,2,2,2,2,2
174,2,2,2,2,2,2,2
240,2,2,2,2,2,2,2
220,2,2,2,2,2,2,2
9,2,2,2,2,2,2,2
200,2,2,2,2,2,2,2
32,2,2,2,2,2,2,2
254,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2
259,2,2,2,2,2,2,2
153,3,4,5,6,7,11,13
128,3,4,5,6,7,11,13
127,3,4,5,6,7,11,13
243,3,4,5,6,7,11,13
120,3,4,5,6,7,11,13
244,3,4,5,6,7,11,12
116,3,4,5,6,7,11,12
42,3,4,5,6,7,11,12
152,3,4,5,6,7,11,12
41,3,4,5,6,7,8,9
74,3,4,5,6,7,8,9
166,3,4,5,6,7,8,10
24,3,4,5,6,7,8,10
75,3,4,5,6,14,18,20
194,3,4,5,6,7,8,10
43,3,4,5,6,14,18,20
236,3,4,5,21,22,23,23
263,3,4,5,21,25,26,27
262,3,4,5,6,14,18,19
151,3,4,5,6,14,15,16
238,3,4,5,6,14,15,17
239,3,4,32,33,39,40,40
143,3,4,32,33,34,36,38
142,3,4,32,33,39,41,41
50,3,4,32,33,34,36,37
246,3,49,77,78,79,81,82
48,3,4,32,33,34,35,35
237,3,4,5,21,22,24,24
163,3,4,32,42,43,45,45
141,3,4,5,21,25,29,30
140,3,4,5,21,25,26,28
229,3,4,5,21,25,29,31
202,3,4,5,21,25,26,28
162,3,4,32,42,43,44,44
230,3,4,32,42,46,47,47
161,3,4,32,42,46,48,48
100,3,49,77,91,95,97,99
68,3,49,77,78,79,80,80
158,3,49,77,78,79,81,83
186,3,49,77,91,95,96,96
90,3,49,77,91,92,93,93
249,3,49,77,78,84,85,86
164,3,49,77,91,95,97,98
170,3,49,50,66,67,71,71
233,3,49,50,66,67,68,69
137,3,49,50,66,67,68,70
107,3,49,50,66,72,73,74
224,3,49,50,66,72,73,75
79,3,49,50,66,72,76,76
4,3,49,50,66,72,73,75
234,3,49,77,91,92,94,94
113,3,49,77,78,84,88,89
114,3,49,77,78,84,88,90
125,3,49,77,78,84,85,87
148,3,49,50,51,52,56,58
232,3,49,50,51,52,56,58
45,3,49,50,51,52,56,58
144,3,49,50,51,52,56,57
231,3,49,50,51,52,53,54
211,3,49,50,51,52,53,55
209,3,49,50,51,59,63,65
261,3,49,50,51,59,63,64
13,3,49,50,51,59,60,62
87,3,49,50,51,59,63,65
88,3,49,50,51,59,63,64
12,3,49,50,51,59,60,61
105,3,49,50,51,59,60,61
103,3,49,50,51,59,60,61
104,3,49,50,51,59,60,61
55,100,101,102,116,124,125,126
108,100,101,102,116,124,125,127
29,100,101,129,145,153,154,155
21,100,101,102,116,117,121,122
123,100,101,129,145,146,150,151
210,100,101,129,145,146,150,152
150,100,101,129,145,153,154,156
154,100,101,129,145,153,157,159
155,100,101,129,145,153,157,158
149,100,101,129,145,146,147,148
178,100,101,102,116,117,118,119
