LocationID_,nof_trips_sum,popularity
1,111520,0
2,74,0
3,3417,0
4,499733,1
5,310,0
6,1099,0
7,402922,0
8,1976,0
9,3670,0
10,33258,0
11,4368,0
12,71917,0
13,1239465,2
14,49642,0
15,5230,0
16,8831,0
17,121495,0
18,9386,0
19,3815,0
20,6102,0
21,7013,0
22,10936,0
23,1371,0
24,396598,0
25,183283,0
26,13138,0
27,481,0
28,17596,0
29,5842,0
30,216,0
31,3106,0
32,4223,0
33,257625,0
34,11024,0
35,8208,0
36,71355,0
37,115518,0
38,4158,0
39,11570,0
40,113154,0
41,637394,1
42,385355,0
43,1592795,3
44,199,0
45,314262,0
46,908,0
47,6148,0
48,3723448,7
49,145842,0
50,1369750,2
51,4919,0
52,93911,0
53,6516,0
54,22349,0
55,5664,0
56,18396,0
57,3598,0
58,1353,0
59,384,0
60,4196,0
61,123925,0
62,30342,0
63,8811,0
64,4561,0
65,211251,0
66,121928,0
67,9317,0
68,2905618,6
69,28164,0
70,33273,0
71,9891,0
72,9353,0
73,3766,0
74,735337,1
75,1167825,2
76,15137,0
77,4426,0
78,6186,0
79,3503341,7
80,162724,0
81,2619,0
82,74062,0
83,35278,0
84,371,0
85,9971,0
86,2888,0
87,1027062,2
88,528381,1
89,55628,0
90,2195899,4
91,10645,0
92,27260,0
93,15413,0
94,4974,0
95,80636,0
96,1251,0
97,176380,0
98,7401,0
99,30,0
100,2249365,4
101,3404,0
102,9307,0
103,0,0
104,2,0
105,98,0
106,45426,0
107,2910652,6
108,3656,0
109,551,0
110,3,0
111,979,0
112,205221,0
113,1997747,4
114,1622010,3
115,1033,0
116,256242,0
117,2030,0
118,1093,0
119,14683,0
120,3024,0
121,9271,0
122,2369,0
123,8848,0
124,6764,0
125,734028,1
126,8216,0
127,54588,0
128,4220,0
129,146017,0
130,19291,0
131,8180,0
132,1837540,3
133,21512,0
134,17319,0
135,14060,0
136,7669,0
137,1750621,3
138,2203537,4
139,4245,0
140,2191945,4
141,2930492,6
142,3490594,7
143,1454163,3
144,1350909,2
145,249051,0
146,145172,0
147,7163,0
148,1628814,3
149,6396,0
150,3096,0
151,1066645,2
152,177035,0
153,3421,0
154,664,0
155,6889,0
156,1016,0
157,24406,0
158,1480244,3
159,22698,0
160,19556,0
161,4744453,9
162,4114324,8
163,3213973,6
164,2872408,6
165,11855,0
166,811231,1
167,11253,0
168,56966,0
169,12560,0
170,4115986,8
171,8604,0
172,719,0
173,20007,0
174,7745,0
175,4881,0
176,416,0
177,14047,0
178,4986,0
179,132766,0
180,5027,0
181,296247,0
182,7923,0
183,2891,0
184,425,0
185,7360,0
186,3947081,8
187,283,0
188,51743,0
189,86171,0
190,14536,0
191,6270,0
192,5737,0
193,61967,0
194,13262,0
195,28542,0
196,27851,0
197,15127,0
198,40228,0
199,36,0
200,19212,0
201,2236,0
202,30492,0
203,5667,0
204,339,0
205,7323,0
206,1040,0
207,4509,0
208,8079,0
209,291759,0
210,6581,0
211,1074618,2
212,8192,0
213,9392,0
214,1143,0
215,9570,0
216,27112,0
217,27746,0
218,7985,0
219,14520,0
220,24365,0
221,1521,0
222,1914,0
223,171081,0
224,470888,0
225,76850,0
226,275891,0
227,15236,0
228,47360,0
229,2344741,4
230,4100465,8
231,2300371,4
232,431612,0
233,1782083,3
234,3917011,8
235,12653,0
236,4618667,9
237,4670912,9
238,2480884,5
239,3181912,6
240,2069,0
241,10529,0
242,6996,0
243,130505,0
244,298574,0
245,593,0
246,2105381,4
247,40630,0
248,6912,0
249,2453058,5
250,5791,0
251,1097,0
252,8584,0
253,495,0
254,5446,0
255,281571,0
256,254204,0
257,34750,0
258,11529,0
259,6664,0
260,115608,0
261,681964,1
262,1549885,3
263,2269973,4
264,0,0
265,0,0
